epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,188492,1.55458,1.74395,1.62185,0.51774,0.46141,0.45288,0.21179,1.83691,1.81453,1.80086,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,190374,1.39865,1.35478,1.54602,0.51425,0.46039,0.45284,0.21183,1.83824,1.81448,1.80159,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,192260,1.3797,1.31484,1.53333,0.51376,0.45911,0.45228,0.21194,1.83917,1.81637,1.80226,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,194139,1.37056,1.29618,1.52734,0.51348,0.45935,0.45235,0.21213,1.84092,1.81774,1.80347,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,196016,1.36644,1.2815,1.52683,0.51635,0.45906,0.45263,0.21244,1.84253,1.81931,1.80475,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,197898,1.35184,1.25124,1.50658,0.52203,0.45659,0.45347,0.21296,1.84398,1.82113,1.80576,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,199780,1.34121,1.22832,1.50248,0.52326,0.4595,0.45461,0.21327,1.8458,1.82331,1.80699,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,201663,1.33518,1.21377,1.50059,0.52294,0.45785,0.45521,0.21363,1.84695,1.82494,1.80777,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,203556,1.33244,1.21436,1.49559,0.52482,0.4559,0.45535,0.21391,1.84865,1.82687,1.80882,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,205427,1.3254,1.19628,1.48734,0.52731,0.45269,0.45631,0.2145,1.85051,1.8289,1.81002,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,207291,1.3195,1.19128,1.48411,0.52992,0.45139,0.45706,0.21483,1.8525,1.83127,1.81162,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
